RGIId,Loibl_ELA,Loibl_THAR,Loibl_AAR,Loibl_AABR
RGI60-13.00109,5615.49998020956,0.2271464023147639,0.8883145122522088,8.200504433544259
RGI60-13.00122,5551.039039256172,0.1735997173068463,0.8605242586809585,6.401705623178114
RGI60-13.00130,5701.352185691262,0.2838472366107495,0.8555208038277339,6.247249903143726
RGI60-13.00132,5621.74952255535,0.2400405112730143,0.8599672243587939,6.397726183162493
RGI60-13.00133,5616.129718994188,0.2224543354844551,0.8564687051699993,6.264599656153822
RGI60-13.00135,5717.870326825451,0.4297250361100383,0.9005420289086484,9.574955126797464
RGI60-13.00140,5792.06439816189,0.289808355530664,0.8649566306374998,6.712774692892905
RGI60-13.00144,5785.594026846685,0.3791679872248257,0.7900753677919335,3.926469718024381
RGI60-13.00147,5772.664406677795,0.3658143186025245,0.8581239253323363,6.407103859361794
RGI60-13.00149,5806.360243771123,0.3976360649868337,0.7661909871251903,3.410737589721863
RGI60-13.00153,5786.113434774315,0.3320432643899528,0.7969518635314825,4.134503872135068
RGI60-13.00162,5817.5721113197305,0.3339478761187423,0.8060662727357417,4.336021050015212
RGI60-13.00163,5795.632532434323,0.313915623689184,0.7685384101313243,3.4440352188987995
RGI60-13.00167,5822.728594820473,0.4166964211184149,0.7402248200247977,2.960083496422866
RGI60-13.00168,5772.186200964396,0.3196176879037498,0.8094806127045766,4.40852050275945
RGI60-13.00169,5763.924087999029,0.2650054358225309,0.8215568005441237,4.781273235864787
RGI60-13.00170,5792.426893656674,0.2256742617937746,0.6965637302756075,2.374489330578663
RGI60-13.00171,5806.78910533382,0.2130638907731986,0.8377843012722896,5.370043277176115
RGI60-13.00175,5796.687005321075,0.238340176640904,0.7997110363254805,4.176316066527649
RGI60-13.00179,5777.48211173747,0.2310873596346362,0.8168731183896132,4.647689182990092
RGI60-13.00181,5758.888795977177,0.2457152259769585,0.8440180236118477,5.660527330095015
RGI60-13.00183,5752.189750749432,0.3056323993924156,0.8332328553530529,5.1698900053238175
RGI60-13.00188,5783.992194982496,0.326135313949714,0.7995106949061874,4.083044547507399
RGI60-13.00199,5782.843623712724,0.2551861548311981,0.8041260151153057,4.165532452251083
RGI60-13.00202,5864.372758733525,0.367827134353782,0.8147400609889162,4.54191844902803
RGI60-13.00203,5901.563615250795,0.2222365969388479,0.813629652947431,4.500251298281304
RGI60-13.00209,5825.82022394296,0.2192306762216185,0.7749601927205477,3.560107962943482
RGI60-13.00210,5818.169438154292,0.2455702052060684,0.814236125660664,4.53795325643762
RGI60-13.00211,5776.536221591301,0.2620193881345744,0.8351566401378903,5.141521759665431
RGI60-13.00222,5794.81398717951,0.1162795580893208,0.8710543498257496,6.90348312716281
RGI60-13.00233,5801.591829297362,0.0950885247823823,0.8355437154237043,5.20840889881997
RGI60-13.00235,5838.5392459290615,0.2084352378875668,0.8906031994309423,8.355121110429051
RGI60-13.00236,5834.981156674826,0.2282315637218216,0.7834955945186773,3.793691086555695
RGI60-13.00237,5890.476557986402,0.3599519911525209,0.7257902830600428,2.7197702511072084
RGI60-13.00241,5845.159172654478,0.4718763593285307,0.7810591384969917,3.634737887603889
RGI60-13.00246,5895.608038626175,0.2200328797759529,0.8095904087244371,4.390467543739375
RGI60-13.00272,5807.412820036773,0.2419276063298222,0.7770219311663813,3.578444930788653
RGI60-13.00276,5803.634231037615,0.2239071960773581,0.8108971009137614,4.41957623674596
RGI60-13.00277,5858.177801182455,0.252242798383791,0.9017297455205696,9.566369964455149
RGI60-13.00284,5679.281935628823,0.0947845038051244,0.8795614582454845,7.514632667502856
RGI60-13.00288,5966.898348761066,0.2919408989662809,0.8382868602474949,5.356238921437036
RGI60-13.00293,5894.858152687125,0.2825253351247179,0.8393012093428619,5.41881618573723
RGI60-13.00299,5731.9041732347605,0.304247966452,0.7510652876217687,3.1168586265483347
RGI60-13.00302,5741.724768598614,0.4571891495732829,0.7596822213655954,3.2853853398277235
RGI60-13.00304,5751.981247139419,0.4854281740473048,0.6913110373743241,2.322177650163349
RGI60-13.00306,5933.259345539693,0.3774722724061165,0.8293715628147994,4.964954901874716
RGI60-13.00309,5744.22233079313,0.3071185824812057,0.8023330904377689,4.233766823452192
RGI60-13.00313,5765.34682970551,0.3756520900603957,0.7578257665700089,3.254890520545753
RGI60-13.00330,5760.388057453023,0.3483724039640019,0.8213445135430064,4.749191945284598
RGI60-13.00334,5747.844038815716,0.2987263466373301,0.8409664603166983,5.518495118350891
